Gene_ID,Protein_Function,Locus
CA08g17460,PREDICTED: serine carboxypeptidase-like 26-like [Solanum lycopersicum],Pepper1.55ch08:141292747-141299693
CA08g17470,PREDICTED: serine carboxypeptidase II-3-like [Solanum tuberosum],Pepper1.55ch08:141301233-141303475
CA08g17480,PREDICTED: serine carboxypeptidase II-3-like [Solanum tuberosum],Pepper1.55ch08:141304812-141307500
CA08g17490,PREDICTED: vitellogenin-A2-like [Solanum tuberosum],Pepper1.55ch08:141334508-141335453
CA08g17500,PREDICTED: putative nuclease HARBI1-like [Vitis vinifera],Pepper1.55ch08:141352151-141353519
CA08g17510,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch08:141385412-141385850
CA08g17520,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:141396179-141397988
CA08g17530,EMB2745,Pepper1.55ch08:141428764-141431062
CA08g17540,CPK related kinase 5,Pepper1.55ch08:141499028-141507129
CA08g17550,PREDICTED: glu S.griseus protease inhibitor-like [Solanum tuberosum],Pepper1.55ch08:141570289-141570809
CA08g17560,Unknown protein,Pepper1.55ch08:141571434-141572170
CA08g17570,Unknown protein,Pepper1.55ch08:141577402-141578136
CA08g17580,Unknown protein,Pepper1.55ch08:141585366-141586092
CA08g17590,PREDICTED: glu S.griseus protease inhibitor-like [Solanum tuberosum],Pepper1.55ch08:141588761-141588986
CA08g17600,Unknown protein,Pepper1.55ch08:141590656-141593981
CA08g17610,Unknown protein,Pepper1.55ch08:141598868-141599542
CA08g17620,Cyclophilin 40,Pepper1.55ch08:141605742-141610253
CA08g17630,Detected protein of unknown function,Pepper1.55ch08:141656506-141657193
CA08g17640,PREDICTED: peroxidase 10-like [Solanum tuberosum],Pepper1.55ch08:141678952-141680344
CA08g17650,Lupus la ribonucleoprotein%2C putative,Pepper1.55ch08:141704294-141706823
CA08g17660,Detected protein of unknown function,Pepper1.55ch08:141716141-141718503
CA08g17670,Upstream activation factor subunit UAF30%2C putative,Pepper1.55ch08:141735388-141747145
CA08g17680,Serine/threonine-protein kinase SAPK10%2C putative,Pepper1.55ch08:141797247-141800412
CA08g17690,PREDICTED: GDSL esterase/lipase At5g03980-like [Solanum tuberosum],Pepper1.55ch08:141802048-141802909
CA08g17700,EMB1273,Pepper1.55ch08:141804405-141805559
CA08g17710,PREDICTED: probable N-acetyl-gamma-glutamyl-phosphate reductase%2C chloroplastic [Vitis vinifera],Pepper1.55ch08:141812389-141817708
CA08g17720,ATP binding protein%2C putative,Pepper1.55ch08:141819013-141837704
CA08g17730,Methylketone synthase Ib,Pepper1.55ch08:141854066-141855048
CA08g17740,Os06g0493000 protein,Pepper1.55ch08:141954943-141956624
CA08g17750,Methylketone synthase Ib,Pepper1.55ch08:142026090-142027132
CA08g17760,Methylketone synthase Ib,Pepper1.55ch08:142030022-142031072
CA08g17770,Methylketone synthase Ib,Pepper1.55ch08:142036677-142053034
CA08g17780,Methylketone synthase Ib,Pepper1.55ch08:142058346-142059507
CA08g17790,PREDICTED: putative B3 domain-containing protein At5g66980-like [Solanum lycopersicum],Pepper1.55ch08:142116448-142118059
CA08g17800,Peroxisomal 3-hydroxyisobutyryl-coenzyme A hydrolase,Pepper1.55ch08:142162132-142176612
CA08g17810,RNase H family protein,Pepper1.55ch08:142227458-142227929
CA08g17820,PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase 1-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:142272006-142278537
CA08g17830,Methylketone synthase Ia,Pepper1.55ch08:142280236-142281260
CA08g17840,LRR receptor-like protein kinase,Pepper1.55ch08:142291398-142295590
CA08g17850,2-oxoglutarate-dependent dioxygenase,Pepper1.55ch08:142303504-142305210
CA08g17860,2-oxoglutarate-dependent dioxygenase,Pepper1.55ch08:142305899-142307616
CA08g17870,PREDICTED: protein FAM114A2-like isoform X2 [Citrus sinensis],Pepper1.55ch08:142308814-142313783
CA08g17880,Extensin-like protein,Pepper1.55ch08:142315624-142318310
CA08g17890,Maternal effect embryo arrest 14 isoform 1 [Theobroma cacao],Pepper1.55ch08:142319709-142322335
CA08g17900,pollen-specific leucine-rich repeat extensin-like protein 4 [Arabidopsis thaliana],Pepper1.55ch08:142342163-142345568
CA08g17910,Detected protein of unknown function,Pepper1.55ch08:142347084-142349098
CA08g17920,Detected protein of unknown function,Pepper1.55ch08:142370193-142382274
CA08g17930,B3 domain-containing protein,Pepper1.55ch08:142383177-142384606
CA08g17940,Detected protein of unknown function,Pepper1.55ch08:142387997-142388651
CA08g17950,Detected protein of unknown function,Pepper1.55ch08:142389715-142390603
CA08g17960,PREDICTED: B3 domain-containing transcription factor VRN1-like [Solanum lycopersicum],Pepper1.55ch08:142452186-142454421
CA08g17970,PREDICTED: putative B3 domain-containing protein At5g66980-like [Solanum lycopersicum],Pepper1.55ch08:142470607-142472479
CA08g17980,Cytochrome P450 82C4%2C putative isoform 2 [Theobroma cacao],Pepper1.55ch08:142473184-142473559
CA08g17990,Beta-glucanase%2C putative,Pepper1.55ch08:142474196-142475477
CA08g18000,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:142477455-142479309
CA08g18010,PREDICTED: diphthamide biosynthesis protein 3-like [Citrus sinensis],Pepper1.55ch08:142479557-142479803
CA08g18020,PREDICTED: serine/threonine-protein kinase SMG1 [Vitis vinifera],Pepper1.55ch08:142489757-142490015
CA08g18030,PREDICTED: serine/threonine-protein kinase SMG1 [Vitis vinifera],Pepper1.55ch08:142494106-142511384
CA08g18040,PREDICTED: serine/threonine-protein kinase SMG1-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:142514170-142514901
CA08g18050,GTP-binding protein alpha subunit%2C gna%2C putative,Pepper1.55ch08:142535057-142539496
CA08g18060,F-box and wd40 domain protein%2C putative,Pepper1.55ch08:142545870-142547353
CA08g18070,PREDICTED: proteasome assembly chaperone 2 [Vitis vinifera],Pepper1.55ch08:142569823-142573590
CA08g18080,Allene oxide synthase (Fragment),Pepper1.55ch08:142582164-142583951
CA08g18090,Fatty acid 9/13-hydroperoxide lyase,Pepper1.55ch08:142600498-142602733
CA08g18100,Retrotransposon protein%2C putative%2C unclassified,Pepper1.55ch08:142647787-142648249
CA08g18110,PREDICTED: TMV resistance protein N-like [Solanum lycopersicum],Pepper1.55ch08:142649628-142649967
CA08g18120,Cytochrome P450 CYP74C4,Pepper1.55ch08:142667282-142669446
CA08g18130,COR413-PM2%2C putative,Pepper1.55ch08:142683325-142684499
CA08g18140,PREDICTED: long chain acyl-CoA synthetase 2-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:142685145-142689752
CA08g18150,PREDICTED: long chain acyl-CoA synthetase 2-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:142696577-142698329
CA08g18160,Ring finger protein%2C putative,Pepper1.55ch08:142750420-142751653
CA08g18170,PREDICTED: CASP-like protein Os03g0767900-like [Fragaria vesca] subsp. vesca,Pepper1.55ch08:142766168-142767334
CA08g18180,Protein binding protein%2C putative,Pepper1.55ch08:142770583-142770979
CA08g18190,Unknown protein,Pepper1.55ch08:142879481-142879880
CA08g18200,Non-symbiotic hemoglobin%2C putative,Pepper1.55ch08:142882661-142884594
CA08g18210,PREDICTED: plastid division protein PDV2-like [Cucumis sativus],Pepper1.55ch08:142887829-142888159
CA08g18220,Putative ternary complex factor MIP1,Pepper1.55ch08:142897693-142901081
CA08g18230,Protein ariadne-1%2C putative,Pepper1.55ch08:142912205-142920136
CA08g18240,At4g34360,Pepper1.55ch08:142922455-142925219
CA08g18250,Chloroplast 1-hydroxy-2-methyl-butenyl 4-diphosphate reductase,Pepper1.55ch08:142954065-142957728
CA08g18260,PREDICTED: protein TRANSPARENT TESTA 12-like [Solanum tuberosum],Pepper1.55ch08:142958743-142958989
CA08g18270,Multidrug resistance pump%2C putative,Pepper1.55ch08:142959024-142961432
CA08g18280,Multidrug resistance pump%2C putative,Pepper1.55ch08:142962585-142965001
CA08g18290,PREDICTED: cytochrome c biogenesis protein CCS1%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch08:142970913-142974669
CA08g18300,Rnf5%2C putative,Pepper1.55ch08:142977669-142978323
CA08g18310,PREDICTED: phospholipase A-2-activating protein-like [Solanum lycopersicum],Pepper1.55ch08:142985003-142992664
CA08g18320,Phospholipase A-2-activating protein%2C putative,Pepper1.55ch08:142996281-142999197
CA08g18330,Tyrosyl-tRNA synthetase,Pepper1.55ch08:143024631-143027671
CA08g18340,1-acyl-sn-glycerol-3-phosphate acyltransferase,Pepper1.55ch08:143033575-143038339
CA08g18350,AT14A%2C putative,Pepper1.55ch08:143038892-143040005
CA08g18360,PREDICTED: putative lipid-transfer protein DIR1-like [Solanum tuberosum],Pepper1.55ch08:143056334-143056649
CA08g18370,Transposon-like element Lyt2-2 DNA,Pepper1.55ch08:143069859-143070138
CA08g18380,PREDICTED: dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit-like [Solanum tuberosum],Pepper1.55ch08:143077285-143082630
CA08g18390,Minor allergen Alt a%2C putative,Pepper1.55ch08:143083968-143086040
CA08g18400,PREDICTED: deSI-like protein At4g17486-like [Solanum tuberosum],Pepper1.55ch08:143087646-143090221
CA08g18410,Polyol transporter,Pepper1.55ch08:143120238-143123374
CA08g18420,Unknown protein,Pepper1.55ch08:143125813-143126920
CA08g18430,Dehydration-responsive protein RD22%2C putative,Pepper1.55ch08:143158510-143159702
CA08g18440,Detected protein of confused Function,Pepper1.55ch08:143174553-143175126
CA08g18450,tRNA synthetase class I family protein%2C putative%2C expressed,Pepper1.55ch08:143211147-143212605
CA08g18460,Cysteinyl-tRNA synthetase%2C putative,Pepper1.55ch08:143212671-143213319
CA08g18470,PREDICTED: BURP domain-containing protein 17-like [Solanum tuberosum],Pepper1.55ch08:143215050-143215758
CA08g18480,PREDICTED: protein EARLY FLOWERING 4-like [Solanum tuberosum],Pepper1.55ch08:143241162-143241537
CA08g18490,PREDICTED: BURP domain-containing protein 17-like [Solanum tuberosum],Pepper1.55ch08:143242244-143243366
CA08g18500,Chromatin remodeling complex subunit,Pepper1.55ch08:143275559-143278691
CA08g18510,Chromatin remodeling complex subunit,Pepper1.55ch08:143283371-143284713
CA08g18520,Detected protein of unknown function,Pepper1.55ch08:143286627-143291942
CA08g18530,PREDICTED: putative proline-rich receptor-like protein kinase PERK6-like [Solanum tuberosum],Pepper1.55ch08:143294347-143298587
CA08g18540,Coatomer subunit gamma,Pepper1.55ch08:143354718-143362635
CA08g18550,At3g18870,Pepper1.55ch08:143363186-143363999
CA08g18560,Heterotrimeric G protein beta 2 subunit,Pepper1.55ch08:143364759-143366854
CA08g18570,Detected protein of unknown function,Pepper1.55ch08:143410154-143410748
CA08g18580,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143476862-143477120
CA08g18590,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143478677-143478929
CA08g18600,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143481969-143482227
CA08g18610,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143484185-143484446
CA08g18620,PREDICTED: proteoglycan 4-like [Solanum tuberosum],Pepper1.55ch08:143485983-143486802
CA08g18630,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143487798-143488044
CA08g18640,PREDICTED: proteoglycan 4-like [Solanum tuberosum],Pepper1.55ch08:143490450-143491051
CA08g18650,PREDICTED: auxin-induced protein 15A-like [Solanum tuberosum],Pepper1.55ch08:143492122-143492359
CA08g18660,PREDICTED: auxin-induced protein 15A-like [Solanum tuberosum],Pepper1.55ch08:143493304-143493541
CA08g18670,Detected protein of unknown function,Pepper1.55ch08:143494331-143495207
CA08g18680,ATP-dependent RNA helicase%2C putative,Pepper1.55ch08:143511973-143515462
CA08g18690,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143518138-143518384
CA08g18700,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch08:143520416-143520674
CA08g18710,X intrinsic protein,Pepper1.55ch08:143521605-143522948
CA08g18720,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:143523963-143527525
CA08g18730,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:143532881-143543886
CA08g18740,PREDICTED: ribosome biogenesis protein WDR12 homolog [Solanum lycopersicum],Pepper1.55ch08:143547184-143552632
CA08g18750,uncharacterized LOC102580903 [Solanum tuberosum],Pepper1.55ch08:143554858-143557819
CA08g18760,COBRA-like protein,Pepper1.55ch08:143560201-143563599
CA08g18770,PREDICTED: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1-like [Solanum tuberosum],Pepper1.55ch08:143565095-143570053
CA08g18780,Chalcone synthase%2C putative,Pepper1.55ch08:143571041-143573100
CA08g18790,Unknown protein,Pepper1.55ch08:143574054-143575347
CA08g18800,ER lumen protein retaining receptor%2C putative,Pepper1.55ch08:143581045-143587333
CA08g18810,EMB175,Pepper1.55ch08:143591678-143592098
CA08g18820,Putative neutral invertase,Pepper1.55ch08:143598955-143603280
CA08g18830,Unknown protein,Pepper1.55ch08:143613465-143613839
CA08g18840,PREDICTED: high mobility group B protein 14-like [Solanum lycopersicum],Pepper1.55ch08:143617885-143618233
CA08g18850,Triosephosphate isomerase,Pepper1.55ch08:143623319-143629293
CA08g18860,Basic helix-loop-helix DNA-binding superfamily protein [Theobroma cacao],Pepper1.55ch08:143631463-143633637
CA08g18870,Protein XAP5 CIRCADIAN TIMEKEEPER,Pepper1.55ch08:143657738-143669625
CA08g18880,Proline-rich protein,Pepper1.55ch08:143674701-143676499
CA08g18890,peptidyl-prolyl cis-trans isomerase [Solanum lycopersicum],Pepper1.55ch08:143682546-143683065
CA08g18900,Non-imprinted in Prader-Willi/Angelman syndrome region protein%2C putative,Pepper1.55ch08:143711989-143715451
CA08g18910,Detected protein of unknown function,Pepper1.55ch08:143725198-143726338
CA08g18920,Detected protein of unknown function,Pepper1.55ch08:143734382-143736589
CA08g18930,Amidase family protein [Theobroma cacao],Pepper1.55ch08:143750547-143751593
CA08g18940,PREDICTED: dirigent protein 23-like [Solanum tuberosum],Pepper1.55ch08:143788066-143788591
CA08g18950,PREDICTED: dirigent protein 23-like [Solanum tuberosum],Pepper1.55ch08:143793833-143794415
CA08g18960,PREDICTED: disease resistance response protein 206-like [Solanum lycopersicum],Pepper1.55ch08:143799000-143799321
CA08g18970,Translocase of chloroplast,Pepper1.55ch08:143802228-143806320
CA08g18980,PREDICTED: probable receptor protein kinase TMK1-like [Solanum tuberosum],Pepper1.55ch08:143845351-143845657
CA08g18990,Phospholipase C%2C putative,Pepper1.55ch08:143853574-143854651
CA08g19000,ARM repeat containing protein,Pepper1.55ch08:143896745-143899046
CA08g19010,PREDICTED: cold shock domain-containing protein 4-like isoform 6 [Solanum lycopersicum],Pepper1.55ch08:143906007-143907798
CA08g19020,Auxin influx carrier component,Pepper1.55ch08:143929949-143935161
CA08g19030,Putative thaumatin-like protein,Pepper1.55ch08:143962635-143963548
CA08g19040,Sulfate transporter%2C putative,Pepper1.55ch08:143974174-143975542
CA08g19050,Detected protein of unknown function,Pepper1.55ch08:143985134-143986617
CA08g19060,Thaumatin,Pepper1.55ch08:143996477-143998147
CA08g19070,Endo-1%2C4-beta-xylanase A%2C putative,Pepper1.55ch08:143999223-144001823
CA08g19080,Detected protein of unknown function,Pepper1.55ch08:144007197-144010875
CA08g19090,Peptidyl-prolyl cis-trans isomerase,Pepper1.55ch08:144151387-144153814
CA08g19100,Plasma-membrane choline transporter family protein,Pepper1.55ch08:144156488-144160573
CA08g19110,PREDICTED: actin-depolymerizing factor 5-like [Solanum lycopersicum],Pepper1.55ch08:144164972-144166114
CA08g19120,PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum],Pepper1.55ch08:144177626-144178022
CA08g19130,Cucumisin%2C putative,Pepper1.55ch08:144233168-144236118
CA08g19140,Protein farnesyltransferase alpha subunit%2C putative,Pepper1.55ch08:144304143-144309055
CA08g19150,PREDICTED: ribosomal L1 domain-containing protein 1-like [Solanum tuberosum],Pepper1.55ch08:144311497-144312751
CA08g19160,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:144313769-144315587
CA08g19170,Senescence-related protein,Pepper1.55ch08:144316998-144319582
CA08g19180,Proteasome subunit alpha type,Pepper1.55ch08:144322740-144324995
CA08g19190,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:144410758-144413056
CA08g19200,Detected protein of unknown function,Pepper1.55ch08:144422282-144425100
CA08g19210,R2R3-MYB transcription factor,Pepper1.55ch08:144438754-144440696
CA08g19220,Ascorbate peroxidase,Pepper1.55ch08:144447865-144455855
CA08g19230,Calcium lipid binding protein%2C putative,Pepper1.55ch08:144457892-144463032
CA08g19240,Hect ubiquitin-protein ligase%2C putative,Pepper1.55ch08:144481997-144492982
CA08g19250,Beta-galactosidase,Pepper1.55ch08:144495523-144502623
CA08g19260,Detected protein of unknown function,Pepper1.55ch08:144511293-144511827
CA08g19270,MCM10-like protein,Pepper1.55ch08:144515827-144519861
CA08g19280,PREDICTED: rac-like GTP-binding protein ARAC3-like [Solanum lycopersicum],Pepper1.55ch08:144528300-144533603
CA08g19290,Kinase protein with adenine nucleotide alpha hydrolases-like domain%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch08:144539961-144543671
CA08g19300,cDNA clone:J023050H06%2C full insert sequence,Pepper1.55ch08:144551636-144552596
CA08g19310,DNA binding protein%2C putative,Pepper1.55ch08:144632081-144632894
CA08g19320,Nucleosome/chromatin assembly factor group,Pepper1.55ch08:144636742-144640179
CA08g19330,farnesylated protein 6 [Arabidopsis thaliana],Pepper1.55ch08:144641950-144642310
CA08g19340,PREDICTED: RING finger protein B-like [Solanum tuberosum],Pepper1.55ch08:144663800-144664742
CA08g19350,Chloroplast zebra-necrosis protein,Pepper1.55ch08:144667568-144671964
CA08g19360,Hydroxypyruvate reductase,Pepper1.55ch08:144681917-144687318
CA08g19370,PREDICTED: SKP1-like protein 1B-like [Solanum tuberosum],Pepper1.55ch08:144690654-144692449
CA08g19380,Aquaporin,Pepper1.55ch08:144719292-144720953
CA08g19390,expressed protein%2C putative [Ricinus communis],Pepper1.55ch08:144725589-144726029
CA08g19400,Ubiquitin-conjugating enzyme 23 isoform 2 [Theobroma cacao],Pepper1.55ch08:144728395-144735197
CA08g19410,PREDICTED: trafficking protein particle complex subunit 2-like protein-like [Solanum lycopersicum],Pepper1.55ch08:144737795-144741271
CA08g19420,PREDICTED: probable 26S proteasome non-ATPase regulatory subunit 3-like [Solanum lycopersicum],Pepper1.55ch08:144741917-144745008
CA08g19430,26S proteasome non-ATPase regulatory subunit,Pepper1.55ch08:144746152-144750027
CA08g19440,Translation initiation factor if-3%2C putative,Pepper1.55ch08:144751755-144752873
CA08g19450,Protein phosphatase 2c%2C putative,Pepper1.55ch08:144780820-144785553
CA08g19460,Detected protein of unknown function,Pepper1.55ch08:144792436-144795877
CA08g19470,Detected protein of unknown function,Pepper1.55ch08:144796422-144799041
CA08g19480,PREDICTED: V-type proton ATPase subunit B2-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:144805420-144810194
CA08g19490,Detected protein of unknown function,Pepper1.55ch08:144811493-144813855
CA08g19500,Importin beta-2%2C putative,Pepper1.55ch08:144821191-144831368
CA08g19510,PREDICTED: serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' alpha isoform [Vitis vinifera],Pepper1.55ch08:144838861-144840583
CA08g19520,Neutral amino acid transport protein,Pepper1.55ch08:144841496-144842906
CA08g19530,Unknown protein,Pepper1.55ch08:144852050-144852356
CA08g19540,S-adenosyl-methionine-sterol-C-methyltransferase,Pepper1.55ch08:144912131-144912863
CA08g19550,PREDICTED: hippocampus abundant transcript-like protein 1-like [Solanum lycopersicum],Pepper1.55ch08:144956917-144961191
CA08g19560,PREDICTED: aspartic proteinase nepenthesin-1-like [Solanum lycopersicum],Pepper1.55ch08:144989501-144991003
CA08g19570,PREDICTED: aspartic proteinase nepenthesin-1-like [Solanum lycopersicum],Pepper1.55ch08:144995366-144995921
CA08g19580,PREDICTED: aspartic proteinase nepenthesin-1-like [Solanum lycopersicum],Pepper1.55ch08:144996337-144996985
CA08g19590,WD-repeat protein%2C putative,Pepper1.55ch08:145022414-145025780
CA08g19600,Serine/threonine-protein kinase ATR%2C putative,Pepper1.55ch08:145029542-145042737
CA08g19610,Serine/threonine-protein kinase ATR%2C putative,Pepper1.55ch08:145045570-145046790
CA08g19620,ACT-domain-containing protein kinase,Pepper1.55ch08:145049093-145055280
CA08g19630,Ubiquitin-protein ligase%2C putative,Pepper1.55ch08:145064099-145066278
CA08g19640,F-box/LRR-repeat protein,Pepper1.55ch08:145068288-145069183
CA08g19650,Chalcone synthase,Pepper1.55ch08:145074858-145076554
CA09g00010,NAD(P)H-quinone oxidoreductase subunit K%2C chloroplastic,Pepper1.55ch09:364096-364480
CA09g00020,NADH-plastoquinone oxidoreductase subunit 3 (chloroplast) [Capsicum annuum],Pepper1.55ch09:364536-364749
CA09g00030,Endo-1%2C4-beta-glucanase%2C putative,Pepper1.55ch09:492124-495913
CA09g00040,Lysosomal pro-X carboxypeptidase%2C putative,Pepper1.55ch09:498297-503903
CA09g00050,Transcription factor%2C putative,Pepper1.55ch09:519881-521660
CA09g00060,mRNA-decapping enzyme-like protein,Pepper1.55ch09:532201-536819
CA09g00070,Intron maturase%2C type II-like protein,Pepper1.55ch09:542826-545913
CA09g00080,Detected protein of unknown function,Pepper1.55ch09:550361-560120
CA09g00090,Detected protein of unknown function,Pepper1.55ch09:561446-565511
CA09g00100,Detected protein of unknown function,Pepper1.55ch09:565562-569288
CA09g00110,PREDICTED: mitochondrial fission protein ELM1-like [Solanum tuberosum],Pepper1.55ch09:572930-581291
CA09g00120,PREDICTED: casparian strip membrane protein 1-like [Solanum tuberosum],Pepper1.55ch09:583410-584686
CA09g00130,PREDICTED: peptidyl-prolyl cis-trans isomerase-like 1-like isoform 2 [Solanum lycopersicum],Pepper1.55ch09:585348-589518
CA09g00140,O-linked n-acetylglucosamine transferase%2C ogt%2C putative,Pepper1.55ch09:629839-641872
CA09g00150,PREDICTED: vacuolar protein sorting-associated protein 55 homolog [Cucumis sativus],Pepper1.55ch09:648397-652003
CA09g00160,PREDICTED: NAC domain-containing protein 90-like [Glycine max],Pepper1.55ch09:659439-661768
CA09g00170,Short-chain dehydrogenase%2C putative,Pepper1.55ch09:671664-680703
CA09g00180,Detected protein of unknown function,Pepper1.55ch09:683403-684468
CA09g00190,Detected protein of unknown function,Pepper1.55ch09:699597-701879
CA09g00200,PREDICTED: uncharacterized LOC101214251 [Cucumis sativus],Pepper1.55ch09:706000-708985
CA09g00210,PREDICTED: 40S ribosomal protein S14-2-like [Solanum lycopersicum],Pepper1.55ch09:710114-714255
CA09g00220,Apoplastic invertase,Pepper1.55ch09:720471-720878
CA09g00230,Apoplastic invertase,Pepper1.55ch09:720914-722873
CA09g00240,Apoplastic invertase,Pepper1.55ch09:724192-727469
CA09g00250,PREDICTED: pentatricopeptide repeat-containing protein At1g11290-like [Vitis vinifera],Pepper1.55ch09:734993-736505
CA09g00260,Bipolar kinesin KRP-130%2C putative,Pepper1.55ch09:738889-749026
CA09g00270,PREDICTED: 50S ribosomal protein L12-2%2C chloroplastic-like isoform 1 [Solanum lycopersicum],Pepper1.55ch09:750471-751053
CA09g00280,PREDICTED: 60S ribosomal export protein NMD3-like [Solanum tuberosum],Pepper1.55ch09:755436-756975
CA09g00290,PREDICTED: 1-aminocyclopropane-1-carboxylate oxidase homolog 1 [Vitis vinifera],Pepper1.55ch09:760715-762960
CA09g00300,Desacetoxyvindoline 4-hydroxylase%2C putative,Pepper1.55ch09:764755-766009
CA09g00310,Desacetoxyvindoline 4-hydroxylase%2C putative,Pepper1.55ch09:769339-770637
CA09g00320,PREDICTED: 1-aminocyclopropane-1-carboxylate oxidase homolog 1-like [Solanum lycopersicum],Pepper1.55ch09:772932-774289
CA09g00330,Detected protein of unknown function,Pepper1.55ch09:775774-779728
CA09g00340,PREDICTED: auxin-induced protein 15A-like [Solanum lycopersicum],Pepper1.55ch09:781398-781638
CA09g00350,Rac GTPase activating protein 1,Pepper1.55ch09:791893-796895
CA09g00360,Magnesium ion binding protein%2C putative,Pepper1.55ch09:799178-802736
CA09g00370,Pentatricopeptide repeat-containing protein,Pepper1.55ch09:804030-805779
CA09g00380,PREDICTED: signal recognition particle 54 kDa protein%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch09:807926-810834
CA09g00390,Signal recognition particle protein%2C putative,Pepper1.55ch09:816422-818264
CA09g00400,PREDICTED: F-box/FBD/LRR-repeat protein At3g52680-like [Solanum tuberosum],Pepper1.55ch09:836069-837455
CA09g00410,Abc transporter%2C putative,Pepper1.55ch09:839892-849666
CA09g00420,Similar to signal recognition particle 54 kDa protein,Pepper1.55ch09:852893-854375
CA09g00430,Nucleolar phosphoprotein%2C putative,Pepper1.55ch09:859704-864482
CA09g00440,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch09:974045-975669
CA09g00450,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch09:976188-979049
CA09g00460,Transcription regulation%2C putative,Pepper1.55ch09:1197393-1200805
CA09g00470,Detected protein of unknown function,Pepper1.55ch09:1208548-1209805
CA09g00480,PREDICTED: mediator-associated protein 2-like [Solanum lycopersicum],Pepper1.55ch09:1214584-1214965
CA09g00490,Detected protein of unknown function,Pepper1.55ch09:1230058-1230409
CA09g00500,PREDICTED: bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3-like isoform 1 [Solanum lycopersicum],Pepper1.55ch09:1234423-1240045
CA09g00510,Thioredoxin family protein isoform 2 [Theobroma cacao],Pepper1.55ch09:1247239-1250478
CA09g00520,Unknown protein,Pepper1.55ch09:1335774-1336668
CA09g00530,Unknown protein,Pepper1.55ch09:1344654-1345143
CA09g00540,PREDICTED: protein pleiotropic regulatory locus 1 [Glycine max],Pepper1.55ch09:1348355-1348715
CA09g00550,B-block binding subunit of TFIIIC [Arabidopsis thaliana],Pepper1.55ch09:1352130-1352529
CA09g00560,B-block binding subunit of TFIIIC,Pepper1.55ch09:1352745-1360609
CA09g00570,Detected protein of unknown function,Pepper1.55ch09:1362371-1369053
CA09g00580,Pentatricopeptide repeat protein,Pepper1.55ch09:1371257-1373324
CA09g00590,PREDICTED: glucosamine 6-phosphate N-acetyltransferase-like [Solanum tuberosum],Pepper1.55ch09:1374340-1374811
CA09g00600,PREDICTED: hsp70-binding protein 1-like [Solanum tuberosum],Pepper1.55ch09:1376430-1381204
CA09g00610,Calmodulin binding protein%2C putative,Pepper1.55ch09:1389436-1393891
CA09g00620,Xylem serine proteinase 1%2C putative,Pepper1.55ch09:1405663-1412682
CA09g00630,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch09:1430853-1432034
CA09g00640,Os05g0302700 protein,Pepper1.55ch09:1438366-1440436
CA09g00650,NBS-LRR type resistance protein,Pepper1.55ch09:1445277-1447941
CA09g00660,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch09:1456821-1457526
CA09g00670,Nucleotide binding site and leucine rich repeat protein 3 (Fragment),Pepper1.55ch09:1457577-1458994
CA09g00680,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch09:1459055-1459424
CA09g00690,Nucleolar complex protein-like protein,Pepper1.55ch09:1578820-1583227
